"レコードの開始行","区分","商品コードlookup","_","商品コード","商品名","入り数","発注単位","数量","単位","単価","金額","特殊単価","特殊金額","原価単価","原価金額","粗利","配送業者","伝票番号","配送状況","出荷日","業者ID","配送品番","納品可能日","配送分類","業者商品コード","業者品目","部門コード","部門名","明細備考","送料区分","配送条件lookup","_","送料コード","送料名","数量","単位","単価","金額","個口数","送料部門コード","送料部門名","送料備考","レコード番号","受注日","商品計","受注No","希望納品日","店舗タイプ","取消","店舗名","店舗ID","送料計","合計金額","連絡必要チェック[TEL連絡要]","店舗郵便番号","店舗住所","店舗TEL","店舗FAX","時刻","カテゴリ","進捗","配送","印刷","当日フラグ[当日分にする]","作業日","店舗価格パターン","印刷フラグ","発注チェック","FAX送信フラグ","FAX送信","納品書","本部発注日","代理発注アカウント","店舗配送業者","店舗配達時間帯","店舗印刷","連動後変更フラグ","送料伝票確認","伝票区分","新システム移行[対象]","ビュー識別","対象店舗表示","印刷出力順","明細数","納品書出力有無","カテゴリコード","担当者コード","担当者名","請求書","請求書番号","マイページ表示","カテゴリlookup","カテゴリ(文字列)","カテゴリ-タイプ","店舗ID(文字列)","部門名(文字列)","部門コード(文字列)","店舗名lookup","請求先名","請求先ID","締め処理後の編集","担当者ルックアップ","担当者名(文字列)"
"*","通　常","","","B0059","グラスC468　（6個セット）","6個","1ｾｯﾄ","1","set","1022","1022","","","876","876","146","社便・他（配送伝票番号なし）","ﾄﾅﾐ　6863648385","","","9006","HS900601","2019/7/3","","","グラス　C468　（6個セット）","B013","飲食事業（フランチャイズ）","","","","","","","","","","","","","","","3663","2019/06/28","2777","0132-0-190628110918","2019/07/03","加盟店","","販売・仕入先208","0132","1800","4577","","924-0863","北海道旭川市永山１条1-25-7","0598-81-2590","0598-81-2590","11:09","その他備品","連","済","済","","","標準価格","済","発注完了","1","","済","2019/07/01","","ヤマト運輸","午前中","","","","直送","","その他備品","","3028","2","有","B","142","坪田 輝","","","","","","","","","","","","","","",""
"","通　常","","","H0004","メニューブック用外カバー　","1枚","1ﾏｲ","5","枚","351","1755","","","247","1235","520","ヤマト運輸","4.41223E+11","http://jizen.kuronekoyamato.co.jp/jizen/servlet/crjz.b.NQ0010?id=441222809720","","9009","HS900901","2019/7/3","","-19","メニューブック用外カバー","B013","飲食事業（フランチャイズ）","","","","","","","","","","","","","","","3663","2019/06/28","2777","0132-0-190628110918","2019/07/03","加盟店","","販売・仕入先208","0132","1800","4577","","924-0863","北海道旭川市永山１条1-25-7","0598-81-2590","0598-81-2590","11:09","その他備品","連","済","済","","","標準価格","済","発注完了","1","","済","2019/07/01","","ヤマト運輸","午前中","","","","直送","","その他備品","","3028","2","有","B","142","坪田 輝","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","送　料","","","H011","配送費　立替（備品）","1","","900","900","0","B013","飲食事業（フランチャイズ）","","3663","2019/06/28","2777","0132-0-190628110918","2019/07/03","加盟店","","販売・仕入先208","0132","1800","4577","","924-0863","北海道旭川市永山１条1-25-7","0598-81-2590","0598-81-2590","11:09","その他備品","連","済","済","","","標準価格","済","発注完了","1","","済","2019/07/01","","ヤマト運輸","午前中","","","","直送","","その他備品","","3028","2","有","B","142","坪田 輝","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","送　料","","","H011","配送費　立替（備品）","1","","900","900","0","B013","飲食事業（フランチャイズ）","","3663","2019/06/28","2777","0132-0-190628110918","2019/07/03","加盟店","","販売・仕入先208","0132","1800","4577","","924-0863","北海道旭川市永山１条1-25-7","0598-81-2590","0598-81-2590","11:09","その他備品","連","済","済","","","標準価格","済","発注完了","1","","済","2019/07/01","","ヤマト運輸","午前中","","","","直送","","その他備品","","3028","2","有","B","142","坪田 輝","","","","","","","","","","","","","","",""
"*","通　常","","","S0294","旨辛みそめんま（業務用バラ）","1kg","1袋","5","袋","1040","5200","","","800","4000","1200","ヤマト運輸","4.41211E+11","http://jizen.kuronekoyamato.co.jp/jizen/servlet/crjz.b.NQ0010?id=441211064851","2019/7/1","2","HSH000220","2019/7/2","","","","B004","製造事業","","","","","","","","","","","","","","","3657","2019/06/28","61200","0209-0-190628142142","2019/07/02","加盟店","","販売・仕入先068","0209","2640","63840","","747-0848","岐阜県岐阜市西中島2-5-3 西中島シャトー216","0743-33-4432","0743-33-4432","14:21","食材","連","済","済","","","標準価格","済","発注完了","","","済","2019/07/01","","ヤマト運輸","午前中","","","","","","食材","","3070","4","有","A","101","古川 史織","","20190731-100440-0209A-01","","","","","","","","","","","","",""
"","通　常","","","S0004","北海道味噌","20㎏","1ｹｰｽ","1","c/s","14000","14000","","","5801","5801","8199","ヤマト運輸","4.41211E+11","http://jizen.kuronekoyamato.co.jp/jizen/servlet/crjz.b.NQ0010?id=441211064862","2019/7/1","2","HSH000201","2019/7/2","","","","B004","製造事業","","","","","","","","","","","","","","","3657","2019/06/28","61200","0209-0-190628142142","2019/07/02","加盟店","","販売・仕入先068","0209","2640","63840","","747-0848","岐阜県岐阜市西中島2-5-3 西中島シャトー216","0743-33-4432","0743-33-4432","14:21","食材","連","済","済","","","標準価格","済","発注完了","","","済","2019/07/01","","ヤマト運輸","午前中","","","","","","食材","","3070","4","有","A","101","古川 史織","","20190731-100440-0209A-01","","","","","","","","","","","","",""
"","通　常","","","S0010","胡麻味噌の素","1㎏×12P","1ｹｰｽ","1","c/s","25200","25200","","","12728.32","12728.32","12471.68","ヤマト運輸","4.41211E+11","http://jizen.kuronekoyamato.co.jp/jizen/servlet/crjz.b.NQ0010?id=441211064873","2019/7/1","2","HSH000201","2019/7/2","","","","B004","製造事業","","","","","","","","","","","","","","","3657","2019/06/28","61200","0209-0-190628142142","2019/07/02","加盟店","","販売・仕入先068","0209","2640","63840","","747-0848","岐阜県岐阜市西中島2-5-3 西中島シャトー216","0743-33-4432","0743-33-4432","14:21","食材","連","済","済","","","標準価格","済","発注完了","","","済","2019/07/01","","ヤマト運輸","午前中","","","","","","食材","","3070","4","有","A","101","古川 史織","","20190731-100440-0209A-01","","","","","","","","","","","","",""
"","通　常","","","S0048","トライねり唐辛子みそ","1.2㎏×12P","1ｹｰｽ","1","c/s","16800","16800","","","5856","5856","10944","ヤマト運輸","4.41211E+11","http://jizen.kuronekoyamato.co.jp/jizen/servlet/crjz.b.NQ0010?id=441211064884","2019/7/1","2","HSH000201","2019/7/2","","","","B004","製造事業","","","","","","","","","","","","","","","3657","2019/06/28","61200","0209-0-190628142142","2019/07/02","加盟店","","販売・仕入先068","0209","2640","63840","","747-0848","岐阜県岐阜市西中島2-5-3 西中島シャトー216","0743-33-4432","0743-33-4432","14:21","食材","連","済","済","","","標準価格","済","発注完了","","","済","2019/07/01","","ヤマト運輸","午前中","","","","","","食材","","3070","4","有","A","101","古川 史織","","20190731-100440-0209A-01","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","送　料","","","HSH001","配送費","3","","660","1980","1","B004","製造事業","","3657","2019/06/28","61200","0209-0-190628142142","2019/07/02","加盟店","","販売・仕入先068","0209","2640","63840","","747-0848","岐阜県岐阜市西中島2-5-3 西中島シャトー216","0743-33-4432","0743-33-4432","14:21","食材","連","済","済","","","標準価格","済","発注完了","","","済","2019/07/01","","ヤマト運輸","午前中","","","","","","食材","","3070","4","有","A","101","古川 史織","","20190731-100440-0209A-01","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","送　料","","","HSH026","配送費","1","","660","660","15","B004","製造事業","","3657","2019/06/28","61200","0209-0-190628142142","2019/07/02","加盟店","","販売・仕入先068","0209","2640","63840","","747-0848","岐阜県岐阜市西中島2-5-3 西中島シャトー216","0743-33-4432","0743-33-4432","14:21","食材","連","済","済","","","標準価格","済","発注完了","","","済","2019/07/01","","ヤマト運輸","午前中","","","","","","食材","","3070","4","有","A","101","古川 史織","","20190731-100440-0209A-01","","","","","","","","","","","","",""
"*","通　常","","","S0001","麺＃14　A−14A5F","120食","1ｺｳ","6","甲","7320","43920","","","4620","27720","16200","ヤマト運輸","303,512,078,354,303,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","http://jizen.kuronekoyamato.co.jp/jizen/servlet/crjz.b.NQ0010?id=303512078354
http://jizen.kuronekoyamato.co.jp/jizen/servlet/crjz.b.NQ0010?id=303512078365
http://jizen.kuronekoyamato.co.jp/jizen/servlet/crjz.b.NQ0010?id=303512078376
http://jizen.kuronekoyamato.co.jp/jizen/servlet/crjz.b.NQ0010?id=303512078380
http://jizen.kuronekoyamato.co.jp/jizen/servlet/crjz.b.NQ0010?id=303512078391
http://jizen.kuronekoyamato.co.jp/jizen/servlet/crjz.b.NQ0010?id=303512078402","","9003","","2019/7/3","","","","B004","製造事業","","","","","","","","","","","","","","","3646","2019/06/28","150000","0048-0-190628160315","2019/07/03","加盟店","","販売・仕入先180","0048","5880","155880","","939-1364","愛知県田原市光崎4-23-10 ハイム光崎110","0475-09-9777","09912-2-4923","16:03","食材","連","済","済","","","標準価格","済","発注完了","1","","済","2019/07/01","","佐川急便","午前中","","","","","","食材","","1001","8","有","A","101","古川 史織","","20190731-0048-0048A-01","","","","","","","","","","","","",""
"","通　常","","","S00020","新 トライ餃子","200x3合(600粒)","1ｱﾜｾ","1","合","12000","12000","","","6000","6000","6000","ヤマト運輸","4.41209E+11","http://jizen.kuronekoyamato.co.jp/jizen/servlet/crjz.b.NQ0010?id=441209084901","2019/7/1","9020","","2019/7/3","クール便冷凍（ヤマト）","","","B004","製造事業","","","","","","","","","","","","","","","3646","2019/06/28","150000","0048-0-190628160315","2019/07/03","加盟店","","販売・仕入先180","0048","5880","155880","","939-1364","愛知県田原市光崎4-23-10 ハイム光崎110","0475-09-9777","09912-2-4923","16:03","食材","連","済","済","","","標準価格","済","発注完了","1","","済","2019/07/01","","佐川急便","午前中","","","","","","食材","","1001","8","有","A","101","古川 史織","","20190731-0048-0048A-01","","","","","","","","","","","","",""
"","通　常","","","S0023","TM−①（直送）","1㎏×10袋","1ｹｰｽ","1","c/s","13800","13800","","","10270","10270","3530","佐川急便","1.85509E+11","http://k2k.sagawa-exp.co.jp/p/web/okurijosearch.do?okurijoNo=185508995722","","9005","","2019/7/3","","","","B004","製造事業","","","","","","","","","","","","","","","3646","2019/06/28","150000","0048-0-190628160315","2019/07/03","加盟店","","販売・仕入先180","0048","5880","155880","","939-1364","愛知県田原市光崎4-23-10 ハイム光崎110","0475-09-9777","09912-2-4923","16:03","食材","連","済","済","","","標準価格","済","発注完了","1","","済","2019/07/01","","佐川急便","午前中","","","","","","食材","","1001","8","有","A","101","古川 史織","","20190731-0048-0048A-01","","","","","","","","","","","","",""
"","通　常","","","S0003o","信州味噌","20㎏","1ｹｰｽ","1","c/s","13000","13000","","","4929","4929","8071","佐川急便","4.00524E+11","http://k2k.sagawa-exp.co.jp/p/web/okurijosearch.do?okurijoNo=400524030152","2.01907E+13","9024","HS902401","2019/7/3","","","","B004","製造事業","","","","","","","","","","","","","","","3646","2019/06/28","150000","0048-0-190628160315","2019/07/03","加盟店","","販売・仕入先180","0048","5880","155880","","939-1364","愛知県田原市光崎4-23-10 ハイム光崎110","0475-09-9777","09912-2-4923","16:03","食材","連","済","済","","","標準価格","済","発注完了","1","","済","2019/07/01","","佐川急便","午前中","","","","","","食材","","1001","8","有","A","101","古川 史織","","20190731-0048-0048A-01","","","","","","","","","","","","",""
"","通　常","","","S0004o","北海道味噌","20㎏","1ｹｰｽ","2","c/s","14000","28000","","","5801","11602","16398","佐川急便","4.00524E+11","http://k2k.sagawa-exp.co.jp/p/web/okurijosearch.do?okurijoNo=400524030163","2.01907E+13","9024","HS902401","2019/7/3","","","","B004","製造事業","","","","","","","","","","","","","","","3646","2019/06/28","150000","0048-0-190628160315","2019/07/03","加盟店","","販売・仕入先180","0048","5880","155880","","939-1364","愛知県田原市光崎4-23-10 ハイム光崎110","0475-09-9777","09912-2-4923","16:03","食材","連","済","済","","","標準価格","済","発注完了","1","","済","2019/07/01","","佐川急便","午前中","","","","","","食材","","1001","8","有","A","101","古川 史織","","20190731-0048-0048A-01","","","","","","","","","","","","",""
"","通　常","","","S0005o","九州麦味噌","20㎏","1ｹｰｽ","1","c/s","16000","16000","","","6856","6856","9144","佐川急便","4.00524E+11","http://k2k.sagawa-exp.co.jp/p/web/okurijosearch.do?okurijoNo=400524030174","2.01907E+13","9024","HS902401","2019/7/3","","","","B004","製造事業","","","","","","","","","","","","","","","3646","2019/06/28","150000","0048-0-190628160315","2019/07/03","加盟店","","販売・仕入先180","0048","5880","155880","","939-1364","愛知県田原市光崎4-23-10 ハイム光崎110","0475-09-9777","09912-2-4923","16:03","食材","連","済","済","","","標準価格","済","発注完了","1","","済","2019/07/01","","佐川急便","午前中","","","","","","食材","","1001","8","有","A","101","古川 史織","","20190731-0048-0048A-01","","","","","","","","","","","","",""
"","通　常","","","S0011","味噌づけ煮玉子の素","1.2㎏×6P","1ｹｰｽ","1","c/s","6480","6480","","","1891","1891","4589","佐川急便","4.02171E+11","http://k2k.sagawa-exp.co.jp/p/web/okurijosearch.do?okurijoNo=402171446261","2.01907E+13","2","HSH000201","2019/7/3","","","","B004","製造事業","","","","","","","","","","","","","","","3646","2019/06/28","150000","0048-0-190628160315","2019/07/03","加盟店","","販売・仕入先180","0048","5880","155880","","939-1364","愛知県田原市光崎4-23-10 ハイム光崎110","0475-09-9777","09912-2-4923","16:03","食材","連","済","済","","","標準価格","済","発注完了","1","","済","2019/07/01","","佐川急便","午前中","","","","","","食材","","1001","8","有","A","101","古川 史織","","20190731-0048-0048A-01","","","","","","","","","","","","",""
"","通　常","","","S0014","ねり唐がらしみそ","12袋","1ｹｰｽ","1","c/s","16800","16800","","","8364","8364","8436","佐川急便","4.02171E+11","http://k2k.sagawa-exp.co.jp/p/web/okurijosearch.do?okurijoNo=402171446272","2.01907E+13","2","HSH000201","2019/7/3","","","","B004","製造事業","","","","","","","","","","","","","","","3646","2019/06/28","150000","0048-0-190628160315","2019/07/03","加盟店","","販売・仕入先180","0048","5880","155880","","939-1364","愛知県田原市光崎4-23-10 ハイム光崎110","0475-09-9777","09912-2-4923","16:03","食材","連","済","済","","","標準価格","済","発注完了","1","","済","2019/07/01","","佐川急便","午前中","","","","","","食材","","1001","8","有","A","101","古川 史織","","20190731-0048-0048A-01","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","送　料","","","H023","配送費（西日本デポ）","4","","980","3920","1","B004","製造事業","","3646","2019/06/28","150000","0048-0-190628160315","2019/07/03","加盟店","","販売・仕入先180","0048","5880","155880","","939-1364","愛知県田原市光崎4-23-10 ハイム光崎110","0475-09-9777","09912-2-4923","16:03","食材","連","済","済","","","標準価格","済","発注完了","1","","済","2019/07/01","","佐川急便","午前中","","","","","","食材","","1001","8","有","A","101","古川 史織","","20190731-0048-0048A-01","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","送　料","","","HSH001","配送費","2","","980","1960","1","B004","製造事業","","3646","2019/06/28","150000","0048-0-190628160315","2019/07/03","加盟店","","販売・仕入先180","0048","5880","155880","","939-1364","愛知県田原市光崎4-23-10 ハイム光崎110","0475-09-9777","09912-2-4923","16:03","食材","連","済","済","","","標準価格","済","発注完了","1","","済","2019/07/01","","佐川急便","午前中","","","","","","食材","","1001","8","有","A","101","古川 史織","","20190731-0048-0048A-01","","","","","","","","","","","","",""
"*","通　常","","","S0001","麺＃14　A−14A5F","120食","1ｺｳ","1","甲","7320","7320","","","4620","4620","2700","ヤマト運輸","3.03512E+11","http://jizen.kuronekoyamato.co.jp/jizen/servlet/crjz.b.NQ0010?id=303512078413","","9003","","2019/7/2","","","","B004","製造事業","","","","","","","","","","","","","","","3641","2019/06/28","7320","0057-0-190628162950","2019/07/02","加盟店","","販売・仕入先186","0057","0","7320","","208-0022","愛知県海部郡蟹江町宝8-9-5 宝コーポ704","0198-70-6072","0155-55-6560","16:29","食材","連","済","済","","","標準価格","済","発注完了","","","済","2019/07/01","","佐川急便","午前中","","","","直送","","食材","","1004","1","有","A","101","古川 史織","","20190731-0057-0057A-01","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","送　料","","","","","0","","0","0","","","","","3641","2019/06/28","7320","0057-0-190628162950","2019/07/02","加盟店","","販売・仕入先186","0057","0","7320","","208-0022","愛知県海部郡蟹江町宝8-9-5 宝コーポ704","0198-70-6072","0155-55-6560","16:29","食材","連","済","済","","","標準価格","済","発注完了","","","済","2019/07/01","","佐川急便","午前中","","","","直送","","食材","","1004","1","有","A","101","古川 史織","","20190731-0057-0057A-01","","","","","","","","","","","","",""
"*","通　常","","","BS0150","みそだれ","240ｇ","1ﾎﾝ","1","本","309","309","","","200","200","109","佐川急便","4.02171E+11","http://k2k.sagawa-exp.co.jp/p/web/okurijosearch.do?okurijoNo=402171446132","2.01907E+13","2","HS000203","2019/7/4","","","","B015","商事・物販通販事業","","","","","","","","","","","","","","","3541","2019/06/28","7058","0101-0-190628182016","2019/07/04","直営店","","販売・仕入先162","0101","0","7058","","062-0011","北海道白糠郡白糠町西一条北6-3-9","08512-0-3267","09912-7-7386","18:20","物販（その他）","連","済","済","","","標準価格","済","発注完了","","","済","2019/07/01","","佐川急便","午前中","","","","","1","対象物販（その他）","★","103","7","有","C","166","新村 明憲","","20190731-0101-0101C-01","","","","","","","","","","","","",""
"","通　常","","","BS0154","生みそドレッシング","235g","1ﾎﾝ","1","本","289","289","","","210","210","79","佐川急便","4.02171E+11","http://k2k.sagawa-exp.co.jp/p/web/okurijosearch.do?okurijoNo=402171446132","","2","HS000203","2019/7/4","","","","B015","商事・物販通販事業","","","","","","","","","","","","","","","3541","2019/06/28","7058","0101-0-190628182016","2019/07/04","直営店","","販売・仕入先162","0101","0","7058","","062-0011","北海道白糠郡白糠町西一条北6-3-9","08512-0-3267","09912-7-7386","18:20","物販（その他）","連","済","済","","","標準価格","済","発注完了","","","済","2019/07/01","","佐川急便","午前中","","","","","1","対象物販（その他）","★","103","7","有","C","166","新村 明憲","","20190731-0101-0101C-01","","","","","","","","","","","","",""
